kama	107 97 109 97 0 0 0 0 0 0 0 0 0 0 0 0 0
a4Bol	97 52 66 111 108 0 0 0 0 0 0 0 0 0 0 0 0
lapiT	108 97 112 105 84 0 0 0 0 0 0 0 0 0 0 0 0
kasa	107 97 115 97 0 0 0 0 0 0 0 0 0 0 0 0 0
silBa4	115 105 108 66 97 52 0 0 0 0 0 0 0 0 0 0 0
tixe4as	116 105 120 101 52 97 115 0 0 0 0 0 0 0 0 0 0
peine	112 101 105 110 101 0 0 0 0 0 0 0 0 0 0 0 0
flo4	102 108 111 52 0 0 0 0 0 0 0 0 0 0 0 0 0
serutSo	115 101 114 117 116 83 111 0 0 0 0 0 0 0 0 0 0
TepiLo_De_Djentes	84 101 112 105 76 111 95 68 101 95 68 106 101 110 116 101 115
elikopte4o	101 108 105 107 111 112 116 101 52 111 0 0 0 0 0 0 0
eskoBa	101 115 107 111 66 97 0 0 0 0 0 0 0 0 0 0 0
pulpo	112 117 108 112 111 0 0 0 0 0 0 0 0 0 0 0 0
seta	115 101 116 97 0 0 0 0 0 0 0 0 0 0 0 0 0
pe4tSa	112 101 52 116 83 97 0 0 0 0 0 0 0 0 0 0 0
siLa_De_rweDas	115 105 76 97 95 68 101 95 114 119 101 68 97 115 0 0 0
kameLo	107 97 109 101 76 111 0 0 0 0 0 0 0 0 0 0 0
maska4a	109 97 115 107 97 52 97 0 0 0 0 0 0 0 0 0 0
p4etTel	112 52 101 116 84 101 108 0 0 0 0 0 0 0 0 0 0
baNko	98 97 78 107 111 0 0 0 0 0 0 0 0 0 0 0 0
raketa	114 97 107 101 116 97 0 0 0 0 0 0 0 0 0 0 0
ka4akol	107 97 52 97 107 111 108 0 0 0 0 0 0 0 0 0 0
bolkan	98 111 108 107 97 110 0 0 0 0 0 0 0 0 0 0 0
kaBaLo_De_ma4	107 97 66 97 76 111 95 68 101 95 109 97 52 0 0 0 0
da4Do	100 97 52 68 111 0 0 0 0 0 0 0 0 0 0 0 0
kanoa	107 97 110 111 97 0 0 0 0 0 0 0 0 0 0 0 0
gloBo	103 108 111 66 111 0 0 0 0 0 0 0 0 0 0 0 0
gi4nalda	103 105 52 110 97 108 100 97 0 0 0 0 0 0 0 0 0
kasto4	107 97 115 116 111 52 0 0 0 0 0 0 0 0 0 0 0
a4monika	97 52 109 111 110 105 107 97 0 0 0 0 0 0 0 0 0
rinoTe4onte	114 105 110 111 84 101 52 111 110 116 101 0 0 0 0 0 0
beLota	98 101 76 111 116 97 0 0 0 0 0 0 0 0 0 0 0
iGlu	105 71 108 117 0 0 0 0 0 0 0 0 0 0 0 0 0
TaNkos	84 97 78 107 111 115 0 0 0 0 0 0 0 0 0 0 0
domino	100 111 109 105 110 111 0 0 0 0 0 0 0 0 0 0 0
kaktus	107 97 107 116 117 115 0 0 0 0 0 0 0 0 0 0 0
eskale4a_mekanika	101 115 107 97 108 101 52 97 95 109 101 107 97 110 105 107 97
a4pa	97 52 112 97 0 0 0 0 0 0 0 0 0 0 0 0 0
amaka	97 109 97 107 97 0 0 0 0 0 0 0 0 0 0 0 0
aldaBa	97 108 100 97 66 97 0 0 0 0 0 0 0 0 0 0 0
pelikano	112 101 108 105 107 97 110 111 0 0 0 0 0 0 0 0 0
estetoskopjo	101 115 116 101 116 111 115 107 111 112 106 111 0 0 0 0 0
pi4amiDe	112 105 52 97 109 105 68 101 0 0 0 0 0 0 0 0 0
boTal	98 111 84 97 108 0 0 0 0 0 0 0 0 0 0 0 0
uniko4njo	117 110 105 107 111 52 110 106 111 0 0 0 0 0 0 0 0
embuDo	101 109 98 117 68 111 0 0 0 0 0 0 0 0 0 0 0
ako4Deon	97 107 111 52 68 101 111 110 0 0 0 0 0 0 0 0 0
laTo	108 97 84 111 0 0 0 0 0 0 0 0 0 0 0 0 0
esparaGos	101 115 112 97 114 97 71 111 115 0 0 0 0 0 0 0 0
b4uxula	98 52 117 120 117 108 97 0 0 0 0 0 0 0 0 0 0
pestiLo	112 101 115 116 105 76 111 0 0 0 0 0 0 0 0 0 0
t4ipoDe	116 52 105 112 111 68 101 0 0 0 0 0 0 0 0 0 0
boluta	98 111 108 117 116 97 0 0 0 0 0 0 0 0 0 0 0
tenaTas	116 101 110 97 84 97 115 0 0 0 0 0 0 0 0 0 0
esfiNxe	101 115 102 105 78 120 101 0 0 0 0 0 0 0 0 0 0
j\uGo	106 92 117 71 111 0 0 0 0 0 0 0 0 0 0 0 0
enrexaDo	101 110 114 101 120 97 68 111 0 0 0 0 0 0 0 0 0
paleta	112 97 108 101 116 97 0 0 0 0 0 0 0 0 0 0 0
t4anspo4taDo4	116 52 97 110 115 112 111 52 116 97 68 111 52 0 0 0 0
aBako	97 66 97 107 111 0 0 0 0 0 0 0 0 0 0 0 0
